year,title,keywords_list,producers_list,directors_list,writers_list,editing_list,cinematography_list,production_design_list,music_departments_list
1914,The Ghost Breaker,based on play,"['Cecil B. DeMille', 'Jesse L. Lasky']","['Oscar Apfel', 'Cecil B. DeMille']","['Oscar Apfel', 'Cecil B. DeMille', 'Paul Dickey', 'Charles W. Goddard', 'James Montgomery']",[],[],[],[]
2004,Forbidden Lust,sexploitation sexploitation film erotica artifact female topless nudity tribbing lesbian sex sex on a chair nudity sex scene softcore female full frontal nudity female pubic hair female nudity nipples breasts,"['Alexander Davis', 'Marie Godbout', 'Francis Locke']",['Christopher R. Murphy'],['Anora Leachim'],[],['James Alario'],['Victor Gungenstein'],[]
1971,Zaat,catfish transformation psychotronic film mad scientist creature feature sheriff hypodermic fishing windex fish dr z man beast underwater scene low budget sci fi movie child in jeopardy scientist cult film snake bite radioactivity octopus laboratory knife florida drowning aquarium acid sole black character dies cliche nazi experiment doctor mad doctor independent film surprise ending,"['Don Barton', 'Sol Fried', 'Robert M. Smith Jr.', 'Dick Stratton']","['Don Barton', 'Arnold Stevens']","['Ron Kivett', 'Lee O. Larew', 'Don Barton', 'Arnold Stevens']",['George Yarbrough'],['Jack McGowan'],[],"['Jack Tamul', 'Trevor Duncan']"
1985,Once Bitten,vampire halloween virgin drinking blood femme fatale coffin female vampire aging 1980s dream ice cream truck blood spoof supernatural power sex in a coffin halloween costume kiss costume contest reference to yul brynner hollywood woman seduces a man mature woman seduces teenage boy hamburger transformation butler countess eternal youth no reflection in a mirror nude painting pun sexual frustration farce boyfriend girlfriend relationship teenage boy teenage girl homosexual mansion romantic rivalry older woman younger man relationship nightmare virginity male virgin stalker stalking high school homophobia male rear nudity shower reference to jerry lewis gay slur,"['Samuel Goldwyn Jr.', 'Frank Hildebrand', 'Russell Thacher', 'Dimitri Villard', 'Robert Wald']",['Howard Storm'],"['Dimitri Villard', 'David Hines', 'Jeffrey Hause', 'Jonathan Roberts']",['Marc Grossman'],['Adam Greenberg'],['Gene Rudolf'],"['Kathleen Bennett', 'Paul Hulme', 'Dick Lewzey', 'Sidney Margo', 'Alexis Omeltchenko', 'Joe Regis', 'Royal Philharmonic Orchestra', 'Skaila Kanga']"
1989,Marley's Revenge: The Monster Movie,human smuggling vigilante island monster revenge grave priest voodoo voodoo priest zombie,[],['Jet Eller'],[],[],['Harry M. Joyner'],[],[]
1946,Valley of the Zombies,psychotronic film estate graveyard insane asylum operation unwilling blood donor death nurse doctor faked death walking cane police interrogation morgue telephone cord telephone conversation in car talking while driving male female relationship flashback orchestral music score thief capture criminal united states of america stock footage police inspector police officer corpse cigarette smoking embalming insanity blood donor investigator investigation rescue flashlight casket mortician cemetery police investigation violence murder kidnapping damsel in distress held at gunpoint laboratory plasma theft of blood brother murders brother death of brother,"['Dorrell McGowan', 'Stuart E. McGowan']",['Philip Ford'],"['Dorrell McGowan', 'Stuart E. McGowan', 'Royal K. Cole', 'Sherman L. Lowe']",['William P. Thompson'],['Reggie Lanning'],[],"['Richard Cherwin', 'Hans J. Salter', 'John Stransky Jr.']"
2004,Tied Up,deception murder betrayal tied to a chair teenager teenage rape sex robbery nudity marijuana lesbianism female female kiss gun drugs drinking death coming of age bisexual,"['Sylvie Madore', 'Jeremy Rubin', 'Inman Young']",['Jeremy Rubin'],['Jeremy Rubin'],['Jeff Rubin'],['Jason Lowe'],['Margaret M. Miles'],['Keith C. Anderson']
2008,100 Feet,prison house arrest revenge ankle bracelet abusive husband policeman ghost handcuffed woman death beating explosion fire grocery shopping boyfriend abuse dish friend two word title blood stain apartment sister sister relationship death of loved one loss of loved one murder beaten to death sex new york city new york city skyline brooklyn new york city priest bag of money money police officer police blood lingerie slip independent film,"['Sarah Black', 'Chris Bongirne', 'Christopher Courtney', 'Billy Dietrich', 'Ed Elbert', 'Matthew Gratzner', 'Avi Haas', 'Zsófia Kende', ""Stephen L'Heureux"", 'Michele LeBlanc', 'Rick Morse', 'Jonathan Sanger', 'Holly Schepisi', 'Steven Schneider', 'Kornél Sipos', 'David Steiner']",['Eric Red'],['Eric Red'],"['Janice Hampton', 'Anthony Redman']",['Ken Kelsch'],['Márton Ágh'],"['Lisa Brochet', 'Frederik Wiedmann', 'Laurent Ziliani']"
1957,Teenage Monster,psychotronic film 1880s,"['Jacques R. Marquette', 'Dale Tate']",['Jacques R. Marquette'],['Ray Buffum'],['Irving M. Schoenberg'],['Taylor Byars'],[],['Walter Greene']
1991,Slaughter Day,cabin in the woods isolated abandoned house construction possessed house in the woods reference to hr giger,"['Blake Cousins', 'Brent Cousins']",['Brent Cousins'],"['Blake Cousins', 'Brent Cousins']",['Blake Cousins'],[],[],[]
1994,Lisa's Nightmares,murder of a nude woman female full frontal nudity female topless nudity murder knife blood character name in title,['Todd Jason Cook'],['Todd Jason Cook'],[],['Todd Jason Cook'],['Todd Jason Cook'],[],[]
2008,No Man's Land: The Rise of Reeker,slasher supernatural serial killer downblouse body lands on a car child murderer money falls through the air supernatural power serial murder stabbing supernatural slasher sheriff robber desert death waitress serial killer drifter diner death valley hostage gun held to head sink plunger plugged toilet executed in a gas chamber chained to a chair cutting off own hand running for ones life needle nose vice grip piers body parts collection bloody hand print sadism run over by a car crushed to death partially severed leg driving through the desert hitchhiker 1970s urination flashback bare chested male punctuation in title apostrophe in title ghost house underground whiskey vehicular assault torso cut in half tongue cut out tied to a chair taser tape recorder,"['Ronnie Apteker', 'Daniel Barone', 'Don Dunn', 'Tina Illman', 'Dave Payne']",['Dave Payne'],['Dave Payne'],['Daniel Barone'],['Mike Mickens'],['Anton Tremblay'],"['Eddie Beberger', 'Georgie Keummet', 'David Mullins', 'Dave Payne', 'Jack Wyler Payne']"
1980,Cataclysm,archive footage demon underwater volcano sea death nazi nightclub stabbed with scissors person with hooves vision dancing number 666 machine gun massacre orchestra cigar smoking las vegas nevada stop motion scene magic psychic power son of satan surgery murder sadism nightmare omen supernatural power cult occult sadist independent film,"['Stanford Hale', 'Darryl Marshak', 'Carl Newell']","['Phillip Marshak', 'Tom McGowan', 'Gregg G. Tallas']",['Philip Yordan'],['Bruce Markoe'],"['Art Fitzsimmons', 'Bruce Markoe']",[],"['Sandy Berman', 'Bruce Markoe', 'Cathy McKelvey', 'Frank McKelvey']"
1963,Diary of a Madman,adultery insanity rituals ghost smoking jacket canary inkwell widower painting sculpting modelling studio eyes mirror derringer gold digger clay grave false accusation bust suicide cognac reference to guillotine butler cook begins with guy de maupassant quotation horse drawn hearse grave side ceremony lock box attempted murder letter read pothumusly year 1886 voice over narration by lead character serial killer glowing eyes condemned to death transcript of testimony bird in a cage portrait of wife and child spiritual possession teddy bear bust of wife gas light spilled inkwell judge cigar smoking street vendor reference to heinrich heine artists model art gallery,"['Robert E. Kent', 'Edward Small']",['Reginald Le Borg'],"['Guy de Maupassant', 'Robert E. Kent']",['Grant Whytock'],['Ellis W. Carter'],[],['Edna Bullock']
1941,The Wolf Man,werewolf gypsy pentagram secret werewolf bite werewolf transformation werewolf curse silver handled cane horror icon woman in jeopardy universal classic monster lycanthropy ancestral home telescope view through a telescope palm reading hit with a cane destiny stalking walking cane gypsy carnival blooming wolfsbane creature feature werewolf horror walking cane with silver handgrip universal classic monsters full moon monster wolfsbane monster as victim legend father son relationship bear trap transformation tragic hero curse fortune teller cemetery corpse grave digger mirror montage orchestral music score shotgun trap suspicion monster movie lawrence larry talbot character human becoming an animal reference to the wolfman,"['Jack J. Gross', 'George Waggner']",['George Waggner'],['Curt Siodmak'],['Ted J. Kent'],['Joseph A. Valentine'],[],"['Charles Previn', 'Hans J. Salter', 'Frank Skinner']"
1924,Dante's Inferno,based on poem psychotronic film demon suicide greedy businessman hell convicted of murder execution murder trial slum lord surrealism female nudity partially lost film nudity visions of hell allegory,['Henry Otto'],['Henry Otto'],"['Cyrus Wood', 'Edmund Goulding', 'Dante Alighieri']",[],['Joseph H. August'],[],[]
2009,Evil Weed,house,"['Adam Blanck', 'Andrew Lawton', 'Henry Lihn', 'Shane Tilston', 'David Wexler', 'Jonathan Reed Wexler']",['David Wexler'],['David Wexler'],"['Michael Chomet', 'Brian Kushner']","['Bart Grieb', 'Eric Phillips-Horst']",[],[]
1969,The Illustrated Man,venus the planet full body tattoo marooned distant future sci fi anthology driven insane crash landing making peace with death savannah drifter brother and sister stockholm syndrome mystery woman pet dog pomeranian dog search campfire mesmerized obsession sexual attraction stale marriage dystopia defeatism false prophecy computer simulation suicide pact last survivor man undresses female rear nudity female narrator killer child african wilderness dome last day on earth last day of life gay subtext vamp pedagogue female time traveler female tattoo artist deceptive woman seductress love interest illustration tattoo parlor body illustration witch ambiguous ending seeing the future sensitive man,"['Howard B. Kreitsek', 'Ted Mann']",['Jack Smight'],"['Ray Bradbury', 'Howard B. Kreitsek']",['Archie Marshek'],['Philip H. Lathrop'],[],"['Paul Beaver', 'Larry Bunker', 'The Hollywood Studio Symphony', 'Artie Kane', 'Milton Kestenbaum', 'Mitchell Lurie', 'Virginia Majewski', 'Samuel Matlovsky', 'Arthur Morton', 'Dorothy Remsen', 'Howard Roberts', 'Paul Shure', 'David Strech', 'Dan Wallin']"
1961,The Pit and the Pendulum,gothic horror pendulum 1500s spanish inquisition murder torture cult film based on short story conspiracy psychotronic film flash forward younger version of character brother sister relationship mother son relationship uncle nephew relationship brother brother relationship tortured to death extramarital affair unfaithfulness father murders mother witness brother murders brother fireplace candle harpsichord fainting fainting man doctor secret premature burial lie brother in law brother in law relationship servant girl screaming chains strapped to table 16th century spain husband wife relationship dungeon brother in law sister in law uncle brother in law sister in law relationship brother sister englishman abroad timeframe 16th century husband murders his wife death,"['Samuel Z. Arkoff', 'Roger Corman', 'James H. Nicholson']",['Roger Corman'],"['Richard Matheson', 'Edgar Allan Poe']",['Anthony Carras'],['Floyd Crosby'],['Daniel Haller'],"['Eve Newman', 'Al Simms']"
2006,They Must Eat,f rated,"['Khayman Brunswick', 'Lasher Brunswick', 'Raglan Brunswick', 'Todd Brunswick', 'Tommy Brunswick', 'Doug Kolbicz', 'Kim Moran']",['Tommy Brunswick'],['Tommy Brunswick'],"['Todd Brunswick', 'Doug Kolbicz']",['Dave Isern'],[],[]
1982,The Aftermath,mutant space sci fi nuclear war post apocalypse post nuclear boy blond boy execution video nasty nipples visible through clothing cleavage female nudity nude woman woman assaulted by men bouncing breasts downblouse female topless nudity fake wig astronaut return to earth gang rape biker exploding car hand grenade rifle shotgun revolver gunfight shootout one against many revenge rapist brutality los angeles california beach outer space space shuttle stabbed in the eye stabbed in the chest spaceship shot in the head shot in the back murder of a child exploding head child with gun attempted rape bandit death mutation,"['Steve Barkett', 'Ted V. Mikels']",['Steve Barkett'],"['Steve Barkett', 'Stanley Livingston', 'Steve Barkett']",['Steve Barkett'],"['Thomas F. Denove', 'Dennis Skotak']",['Robert Skotak'],"['Don Nemitz', 'Albert Lloyd Olson']"
2000,I Never Left the White Room,exploding head murder gore shower psychiatrist hallucination mental illness blood,['Michael Todd Schneider'],['Michael Todd Schneider'],['Michael Todd Schneider'],['Michael Todd Schneider'],['Michael Todd Schneider'],[],[]
